date,gender,city,category,age_rate,count,avg_age,mid_age,crude_rate
2017/3/1,不分縣市,嘉義縣,住宅部門售電量(度),63263211,63263211,63263211,63263211,63263211
2017/3/1,不分縣市,屏東縣,住宅部門售電量(度),110127318,110127318,110127318,110127318,110127318
2017/3/1,不分縣市,台東縣,住宅部門售電量(度),24758213,24758213,24758213,24758213,24758213
2017/3/1,不分縣市,花蓮縣,住宅部門售電量(度),40121992,40121992,40121992,40121992,40121992
2017/3/1,不分縣市,基隆市,住宅部門售電量(度),45761244,45761244,45761244,45761244,45761244
2017/3/1,不分縣市,新竹市,住宅部門售電量(度),64728835,64728835,64728835,64728835,64728835
2017/3/1,不分縣市,嘉義市,住宅部門售電量(度),34624690,34624690,34624690,34624690,34624690
2017/3/1,不分縣市,澎湖縣,住宅部門售電量(度),12069754,12069754,12069754,12069754,12069754
2017/3/1,不分縣市,金門縣,住宅部門售電量(度),7616177,7616177,7616177,7616177,7616177
2017/3/1,不分縣市,連江縣,住宅部門售電量(度),958184,958184,958184,958184,958184
2017/2/1,不分縣市,新北市,住宅部門售電量(度),544030720,544030720,544030720,544030720,544030720
2017/2/1,不分縣市,台北市,住宅部門售電量(度),352304981,352304981,352304981,352304981,352304981
2017/2/1,不分縣市,桃園市,住宅部門售電量(度),323239664,323239664,323239664,323239664,323239664
2017/2/1,不分縣市,台中市,住宅部門售電量(度),371169564,371169564,371169564,371169564,371169564
2017/2/1,不分縣市,台南市,住宅部門售電量(度),248562598,248562598,248562598,248562598,248562598
2017/2/1,不分縣市,高雄市,住宅部門售電量(度),319969744,319969744,319969744,319969744,319969744
2017/2/1,不分縣市,宜蘭縣,住宅部門售電量(度),59248259,59248259,59248259,59248259,59248259
2017/2/1,不分縣市,新竹縣,住宅部門售電量(度),77340065,77340065,77340065,77340065,77340065
2017/2/1,不分縣市,苗栗縣,住宅部門售電量(度),57316373,57316373,57316373,57316373,57316373
2017/2/1,不分縣市,彰化縣,住宅部門售電量(度),157925660,157925660,157925660,157925660,157925660
2017/2/1,不分縣市,南投縣,住宅部門售電量(度),66091117,66091117,66091117,66091117,66091117
2017/2/1,不分縣市,雲林縣,住宅部門售電量(度),85894715,85894715,85894715,85894715,85894715
2017/2/1,不分縣市,嘉義縣,住宅部門售電量(度),57529486,57529486,57529486,57529486,57529486
2017/2/1,不分縣市,屏東縣,住宅部門售電量(度),101659379,101659379,101659379,101659379,101659379
2017/2/1,不分縣市,台東縣,住宅部門售電量(度),27682861,27682861,27682861,27682861,27682861
2017/2/1,不分縣市,花蓮縣,住宅部門售電量(度),43108538,43108538,43108538,43108538,43108538
2017/2/1,不分縣市,基隆市,住宅部門售電量(度),52756885,52756885,52756885,52756885,52756885
2017/2/1,不分縣市,新竹市,住宅部門售電量(度),59681979,59681979,59681979,59681979,59681979
2017/2/1,不分縣市,嘉義市,住宅部門售電量(度),34765287,34765287,34765287,34765287,34765287
2017/2/1,不分縣市,澎湖縣,住宅部門售電量(度),10257726,10257726,10257726,10257726,10257726
2017/2/1,不分縣市,金門縣,住宅部門售電量(度),5638560,5638560,5638560,5638560,5638560
2017/2/1,不分縣市,連江縣,住宅部門售電量(度),1580682,1580682,1580682,1580682,1580682
2017/1/1,不分縣市,新北市,住宅部門售電量(度),545224437,545224437,545224437,545224437,545224437
2017/1/1,不分縣市,台北市,住宅部門售電量(度),367205220,367205220,367205220,367205220,367205220
2017/1/1,不分縣市,桃園市,住宅部門售電量(度),269720148,269720148,269720148,269720148,269720148
2017/1/1,不分縣市,台中市,住宅部門售電量(度),379560827,379560827,379560827,379560827,379560827
2017/1/1,不分縣市,台南市,住宅部門售電量(度),246706548,246706548,246706548,246706548,246706548
2017/1/1,不分縣市,高雄市,住宅部門售電量(度),415144998,415144998,415144998,415144998,415144998
2017/1/1,不分縣市,宜蘭縣,住宅部門售電量(度),57292915,57292915,57292915,57292915,57292915
2017/1/1,不分縣市,新竹縣,住宅部門售電量(度),68295230,68295230,68295230,68295230,68295230
2017/1/1,不分縣市,苗栗縣,住宅部門售電量(度),65653008,65653008,65653008,65653008,65653008
2017/1/1,不分縣市,彰化縣,住宅部門售電量(度),153385213,153385213,153385213,153385213,153385213
2017/1/1,不分縣市,南投縣,住宅部門售電量(度),53690564,53690564,53690564,53690564,53690564
2017/1/1,不分縣市,雲林縣,住宅部門售電量(度),85201300,85201300,85201300,85201300,85201300
2017/1/1,不分縣市,嘉義縣,住宅部門售電量(度),60217065,60217065,60217065,60217065,60217065
2017/1/1,不分縣市,屏東縣,住宅部門售電量(度),113724570,113724570,113724570,113724570,113724570
2017/1/1,不分縣市,台東縣,住宅部門售電量(度),24487671,24487671,24487671,24487671,24487671
2017/1/1,不分縣市,花蓮縣,住宅部門售電量(度),39256678,39256678,39256678,39256678,39256678
2017/1/1,不分縣市,基隆市,住宅部門售電量(度),43545753,43545753,43545753,43545753,43545753
2017/1/1,不分縣市,新竹市,住宅部門售電量(度),63362426,63362426,63362426,63362426,63362426
2017/1/1,不分縣市,嘉義市,住宅部門售電量(度),34593018,34593018,34593018,34593018,34593018
2017/1/1,不分縣市,澎湖縣,住宅部門售電量(度),11858402,11858402,11858402,11858402,11858402
2017/1/1,不分縣市,金門縣,住宅部門售電量(度),7182566,7182566,7182566,7182566,7182566
2017/1/1,不分縣市,連江縣,住宅部門售電量(度),1312320,1312320,1312320,1312320,1312320
2016/12/1,不分縣市,新北市,住宅部門售電量(度),597127366,597127366,597127366,597127366,597127366
